model,dataset,pretraining length,ImageNet accuracy,freeze encoder,pretraining scheme,seed,accuracy,balanced accuracy,sensitivity,specificity,precision,dice index,jaccard index,mcc,modified hausdorff distance,area under roc,average precision score,mean dice index,mean jaccard index
ResNet50 Attention U-Net,ACDC,1,0.008,False,advanced,123124,0.9940960977211516,,,,,,,,4.118351692092006,0.9975394818933708,0.9573211095596752,0.8967881697623016,0.815010510332748
ResNet50 Attention U-Net,ACDC,1,0.008,False,advanced,123125,0.9945495017390088,,,,,,,,3.6460291132614846,0.99843154964599,0.9621611471640552,0.9031480701422272,0.8251801426515977
ResNet50 Attention U-Net,ACDC,1,0.008,False,advanced,123126,0.99433312583572,,,,,,,,3.539630199070931,0.9985208374816016,0.9609661935621197,0.8998014119964504,0.8196993843369967
ResNet50 Attention U-Net,ACDC,1,0.008,False,advanced,123127,0.9944387021624402,,,,,,,,3.614249665900667,0.9983579081796956,0.9617152773657356,0.9011588745706804,0.8219774097404583
ResNet50 Attention U-Net,ACDC,1,0.008,False,advanced,123128,0.99440104660591,,,,,,,,3.604935114888965,0.9985220532316224,0.9615254924351112,0.9003057022767318,0.8206862629933522
ResNet50 Attention U-Net,ACDC,1,0.008,True,advanced,123124,0.99066936798825,,,,,,,,5.814686510793117,0.995630992383631,0.912533550320607,0.8416796843099285,0.7296041948081151
ResNet50 Attention U-Net,ACDC,1,0.008,True,advanced,123125,0.9909003023113288,,,,,,,,5.530280677327344,0.9961976060922728,0.9173275847512168,0.8458035686839013,0.7356652705746684
ResNet50 Attention U-Net,ACDC,1,0.008,True,advanced,123126,0.9909133048694616,,,,,,,,5.827272568837844,0.9967841980848272,0.9193301291595156,0.8459634952617691,0.7354748334396287
ResNet50 Attention U-Net,ACDC,1,0.008,True,advanced,123127,0.9907321395972424,,,,,,,,5.710179027791926,0.9968583755344612,0.9152797703737576,0.843310160515844,0.7314447444198106
ResNet50 Attention U-Net,ACDC,1,0.008,True,advanced,123128,0.991067242562685,,,,,,,,5.512996398785318,0.9972046004485344,0.9206578206227626,0.8492729242076531,0.7405381367400475
ResNet50 Attention U-Net,ACDC,5,0.054,False,advanced,123124,0.9944345717201843,,,,,,,,3.85571435263066,0.9978140054871494,0.960305415627145,0.9009327005660618,0.8216226861366769
ResNet50 Attention U-Net,ACDC,5,0.054,False,advanced,123125,0.9945054745585502,,,,,,,,3.5235023424273595,0.9984332313539552,0.962078300892467,0.9022189999507888,0.8237138852035389
ResNet50 Attention U-Net,ACDC,5,0.054,False,advanced,123126,0.9943633725272172,,,,,,,,3.819315481610612,0.998219049695107,0.9617810979847704,0.9005877508223935,0.8210294941051131
ResNet50 Attention U-Net,ACDC,5,0.054,False,advanced,123127,0.9939030597427168,,,,,,,,3.885354998585807,0.9976801171201278,0.9557089971779156,0.894265293527074,0.8108672874988098
