dataset,metric,margin,encoder,pretraining_scheme,pooled,level,pretraining_length,robustness
ACDC,cosine_distance,0.0,resnet50,advanced_training,False,1,0,0.017631620168685913
ACDC,cosine_distance,0.0,resnet50,advanced_training,True,1,0,0.017384428530931473
ACDC,cosine_distance,0.0,resnet50,advanced_training,False,2,0,0.014348991215229034
ACDC,cosine_distance,0.0,resnet50,advanced_training,True,2,0,0.012464889325201511
ACDC,cosine_distance,0.0,resnet50,advanced_training,False,3,0,0.018183069303631783
ACDC,cosine_distance,0.0,resnet50,advanced_training,True,3,0,0.01596333272755146
ACDC,cosine_distance,0.0,resnet50,advanced_training,False,4,0,0.02042926847934723
ACDC,cosine_distance,0.0,resnet50,advanced_training,True,4,0,0.015871984884142876
ACDC,cosine_distance,0.0,resnet50,advanced_training,False,5,0,0.03149088844656944
ACDC,cosine_distance,0.0,resnet50,advanced_training,True,5,0,0.026358587667346
ACDC,cosine_distance,0.25,resnet50,advanced_training,False,1,0,0.21736548840999603
ACDC,cosine_distance,0.25,resnet50,advanced_training,True,1,0,0.251564621925354
ACDC,cosine_distance,0.25,resnet50,advanced_training,False,2,0,0.21570301055908203
ACDC,cosine_distance,0.25,resnet50,advanced_training,True,2,0,0.2476940155029297
ACDC,cosine_distance,0.25,resnet50,advanced_training,False,3,0,0.2162245213985443
ACDC,cosine_distance,0.25,resnet50,advanced_training,True,3,0,0.24677690863609314
ACDC,cosine_distance,0.25,resnet50,advanced_training,False,4,0,0.1991456151008606
ACDC,cosine_distance,0.25,resnet50,advanced_training,True,4,0,0.24261513352394104
ACDC,cosine_distance,0.25,resnet50,advanced_training,False,5,0,0.17774738371372223
ACDC,cosine_distance,0.25,resnet50,advanced_training,True,5,0,0.21202783286571503
ACDC,cosine_distance,0.5,resnet50,advanced_training,False,1,0,0.46261417865753174
ACDC,cosine_distance,0.5,resnet50,advanced_training,True,1,0,0.49876120686531067
ACDC,cosine_distance,0.5,resnet50,advanced_training,False,2,0,0.46289175748825073
ACDC,cosine_distance,0.5,resnet50,advanced_training,True,2,0,0.4974311888217926
ACDC,cosine_distance,0.5,resnet50,advanced_training,False,3,0,0.46079814434051514
ACDC,cosine_distance,0.5,resnet50,advanced_training,True,3,0,0.49603232741355896
ACDC,cosine_distance,0.5,resnet50,advanced_training,False,4,0,0.4397119879722595
ACDC,cosine_distance,0.5,resnet50,advanced_training,True,4,0,0.48925715684890747
ACDC,cosine_distance,0.5,resnet50,advanced_training,False,5,0,0.37363964319229126
ACDC,cosine_distance,0.5,resnet50,advanced_training,True,5,0,0.4498540461063385
ACDC,cosine_distance,0.75,resnet50,advanced_training,False,1,0,0.712614119052887
ACDC,cosine_distance,0.75,resnet50,advanced_training,True,1,0,0.7487611174583435
ACDC,cosine_distance,0.75,resnet50,advanced_training,False,2,0,0.712891697883606
ACDC,cosine_distance,0.75,resnet50,advanced_training,True,2,0,0.7474312782287598
ACDC,cosine_distance,0.75,resnet50,advanced_training,False,3,0,0.7107890248298645
ACDC,cosine_distance,0.75,resnet50,advanced_training,True,3,0,0.7460323572158813
ACDC,cosine_distance,0.75,resnet50,advanced_training,False,4,0,0.6873940229415894
ACDC,cosine_distance,0.75,resnet50,advanced_training,True,4,0,0.7392571568489075
ACDC,cosine_distance,0.75,resnet50,advanced_training,False,5,0,0.6105324625968933
ACDC,cosine_distance,0.75,resnet50,advanced_training,True,5,0,0.6945840716362
ACDC,cosine_distance,1.0,resnet50,advanced_training,False,1,0,0.9626140594482422
ACDC,cosine_distance,1.0,resnet50,advanced_training,True,1,0,0.9987611174583435
ACDC,cosine_distance,1.0,resnet50,advanced_training,False,2,0,0.9628917574882507
ACDC,cosine_distance,1.0,resnet50,advanced_training,True,2,0,0.997431218624115
ACDC,cosine_distance,1.0,resnet50,advanced_training,False,3,0,0.9607890248298645
ACDC,cosine_distance,1.0,resnet50,advanced_training,True,3,0,0.9960323572158813
ACDC,cosine_distance,1.0,resnet50,advanced_training,False,4,0,0.9373940229415894
ACDC,cosine_distance,1.0,resnet50,advanced_training,True,4,0,0.9892570972442627
ACDC,cosine_distance,1.0,resnet50,advanced_training,False,5,0,0.8586361408233643
ACDC,cosine_distance,1.0,resnet50,advanced_training,True,5,0,0.9443148970603943
ACDC,inv_pearson_corr,0.0,resnet50,advanced_training,False,1,0,0.032355327159166336
ACDC,inv_pearson_corr,0.0,resnet50,advanced_training,True,1,0,0.0360877588391304
ACDC,inv_pearson_corr,0.0,resnet50,advanced_training,False,2,0,0.02039732225239277
ACDC,inv_pearson_corr,0.0,resnet50,advanced_training,True,2,0,0.019086256623268127
ACDC,inv_pearson_corr,0.0,resnet50,advanced_training,False,3,0,0.02368239499628544
